freq,strat,seed,mean,sdom
167,perturb,42,242.02649774167566,50.994981347841474
200,perturb,42,277.1513986174529,53.972565127627284
250,perturb,42,326.85582682463314,60.42281078609292
333,perturb,42,287.69774171041246,58.38045167777534
500,perturb,42,359.889442735446,65.58799243377197
1000,perturb,42,424.93,77.06
